DEBUG 2024-05-17 08:35:18,623 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\middleware\common.py first seen with mtime 1714980986.915843
DEBUG 2024-05-17 08:35:18,624 autoreload File C:\python310\Lib\email\mime\__init__.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,625 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\urllib3\util\response.py first seen with mtime 1714981322.3908358
DEBUG 2024-05-17 08:35:18,625 autoreload File C:\python310\Lib\_markupbase.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,625 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\manage.py first seen with mtime 1714981074.925553
DEBUG 2024-05-17 08:35:18,626 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\files\temp.py first seen with mtime 1714980986.610999
DEBUG 2024-05-17 08:35:18,626 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1714980986.6759334
DEBUG 2024-05-17 08:35:18,627 autoreload File C:\python310\Lib\encodings\cp1252.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,627 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1714980986.72729
DEBUG 2024-05-17 08:35:18,627 autoreload File C:\python310\Lib\re.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,628 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1714980986.5761375
DEBUG 2024-05-17 08:35:18,628 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\chromium\webdriver.py first seen with mtime 1715065725.9529266
DEBUG 2024-05-17 08:35:18,629 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1714980981.9163427
DEBUG 2024-05-17 08:35:18,629 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1714980985.5262094
DEBUG 2024-05-17 08:35:18,630 autoreload File C:\python310\Lib\locale.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,630 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\templatetags\static.py first seen with mtime 1714980986.94608
DEBUG 2024-05-17 08:35:18,631 autoreload File C:\python310\Lib\email\_encoded_words.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,632 autoreload File C:\python310\Lib\_collections_abc.py first seen with mtime 1680652042.0
